geo_description,label,year,description,estimate,moe,se,cv
North Carolina,HD01_VD16,2007,Estimate; Male: - Master's degree,155873,7162.04,3654.1,2.34
Durham ,HD01_VD16,2007,Estimate; Male: - Master's degree,6828,1333.28,680.24,9.96
Forsyth ,HD01_VD16,2007,Estimate; Male: - Master's degree,5853,1297.53,662.01,11.31
Guilford ,HD01_VD16,2007,Estimate; Male: - Master's degree,9619,1597.79,815.2,8.47
United States,HD01_VD17,2007,Estimate; Male: - Professional school degree,2283361,24214.64,12354.41,0.54
North Carolina,HD01_VD17,2007,Estimate; Male: - Professional school degree,53939,3989.11,2035.26,3.77
Durham ,HD01_VD17,2007,Estimate; Male: - Professional school degree,2497,818.55,417.63,16.73
Forsyth ,HD01_VD17,2007,Estimate; Male: - Professional school degree,2891,828.09,422.49,14.61
Guilford ,HD01_VD17,2007,Estimate; Male: - Professional school degree,2700,778.04,396.96,14.7
United States,HD01_VD18,2007,Estimate; Male: - Doctorate degree,1416257,23560.51,12020.67,0.85
North Carolina,HD01_VD18,2007,Estimate; Male: - Doctorate degree,39015,3431.49,1750.76,4.49
Durham ,HD01_VD18,2007,Estimate; Male: - Doctorate degree,4272,1147.4,585.41,13.7
Forsyth ,HD01_VD18,2007,Estimate; Male: - Doctorate degree,1748,611.23,311.85,17.84
Guilford ,HD01_VD18,2007,Estimate; Male: - Doctorate degree,2830,726.81,370.82,13.1
United States,HD01_VD19,2007,Estimate; Female:,102502211,45679.32,23305.78,0.02
North Carolina,HD01_VD19,2007,Estimate; Female:,3130635,6459.06,3295.44,0.11
Durham ,HD01_VD19,2007,Estimate; Female:,86903,820.94,418.85,0.48
Forsyth ,HD01_VD19,2007,Estimate; Female:,118730,588.6,300.31,0.25
Guilford ,HD01_VD19,2007,Estimate; Female:,162066,576.68,294.22,0.18
United States,HD01_VD20,2007,Estimate; Female: - No schooling completed,914253,16093.45,8210.94,0.9
North Carolina,HD01_VD20,2007,Estimate; Female: - No schooling completed,17769,2088.68,1065.65,6
Durham ,HD01_VD20,2007,Estimate; Female: - No schooling completed,480,462.3,235.87,49.14
