year,geo_description,subtype,quintile,perc,type,se
2008,"Forsyth County, NC",4,4,0.2255146600124766,rac1p,0.06761590697207392
2008,"Forsyth County, NC",4,5,0.18808484092326888,rac1p,0.07200350025880141
2009,"Forsyth County, NC",1,1,0.14787359400107122,rac1p,0.014790665380176503
2009,"Forsyth County, NC",1,2,0.18524906266738084,rac1p,0.014490477479347398
2009,"Forsyth County, NC",1,3,0.2176111408677022,rac1p,0.018208219498330812
2009,"Forsyth County, NC",1,4,0.19152651312265667,rac1p,0.018038171333154517
2009,"Forsyth County, NC",1,5,0.25773968934118907,rac1p,0.014985731935577647
2009,"Forsyth County, NC",2,1,0.2745473845609483,rac1p,0.02918283475616325
2009,"Forsyth County, NC",2,2,0.21065046883293034,rac1p,0.025091662558145898
2009,"Forsyth County, NC",2,3,0.2519313557822728,rac1p,0.04126731165560338
2009,"Forsyth County, NC",2,4,0.16131980892846612,rac1p,0.037398074039048004
2009,"Forsyth County, NC",2,5,0.10155098189538243,rac1p,0.018185897199685372
2009,"Forsyth County, NC",3,1,0.30971545176283866,rac1p,0.06698425117270664
2009,"Forsyth County, NC",3,2,0.3006461852397687,rac1p,0.06894773511758916
2009,"Forsyth County, NC",3,3,0.21584854324906474,rac1p,0.05114891171343135
2009,"Forsyth County, NC",3,4,0.11007822242376147,rac1p,0.04534017925658694
2009,"Forsyth County, NC",3,5,0.06371159732456638,rac1p,0.026215025596285933
2009,"Forsyth County, NC",4,1,0.1413839891451832,rac1p,0.06237413851767433
2009,"Forsyth County, NC",4,2,0.2265943012211669,rac1p,0.08069716987300303
2009,"Forsyth County, NC",4,3,0.14436906377204883,rac1p,0.05465594270774577
2009,"Forsyth County, NC",4,4,0.2876526458616011,rac1p,0.08309982962773282
2009,"Forsyth County, NC",4,5,0.2,rac1p,0.07029782102821627
